gen,evals,sigma,success_rate,c1,cmu,lambda,min_var,max_var,niche
242,2179,164.05973196247302,1.0,0.9,0.01,8,1e-12,1.590350537129234e-08,0
243,2187,178.392339881506,0.5,0.9,0.01,8,1e-12,1.6698749880878808e-08,0
244,2195,192.76269184224145,0.375,0.9,0.01,8,1e-12,1.7797108410253617e-08,0
245,2203,200.30730293573532,0.5,0.9,0.01,8,1e-12,1.7610493043929754e-08,0
246,2211,206.77460819393409,1.0,0.9,0.01,8,1e-12,1.0111937996132719e-08,0
247,2219,218.0546168498194,1.0,0.9,0.01,8,1e-12,1.2780445766765259e-08,0
248,2227,213.16660830728893,0.0,0.81,0.011000000000000001,8,1e-12,1.3059408534366238e-08,0
249,2235,202.8933912500946,1.0,0.8910000000000001,0.01,8,1e-12,1.8407886890610276e-08,0
250,2243,216.25065238806465,1.0,0.9,0.01,8,1e-12,1.05831221209125e-08,0
251,2251,240.10683535372823,1.0,0.9,0.01,8,1e-12,7.950681066145164e-09,0
252,2259,254.39595158016274,1.0,0.9,0.01,8,1e-12,5.80451599392638e-09,0
253,2267,254.66371360015557,0.25,0.9,0.01,8,1e-12,3.5010976992082235e-09,0
254,2275,264.49894281136136,1.0,0.9,0.01,8,1e-12,1.961593553901916e-09,0
255,2283,275.58576613403983,0.875,0.9,0.01,8,1e-12,1.1519811118645941e-09,0
