gen,evals,F_mean,CR_mean,p,pop_size,success_rate,niche
82,4893,0.5,0.10787648024296084,0.25,30,0.13333333333333333,1
83,4923,0.5,0.11884978164880611,0.25,30,0.16666666666666666,1
84,4952,0.5,0.07477019021741463,0.25,29,0.034482758620689655,1
85,4981,0.5,0.0659841534083128,0.25,29,0.034482758620689655,1
86,5009,0.5,0.05848012922072345,0.25,28,0.21428571428571427,1
87,5037,0.5,0.04390506354327247,0.25,28,0.07142857142857142,1
88,5064,0.5,0.0507528255506012,0.25,27,0.18518518518518517,1
89,5091,0.5,0.0507528255506012,0.25,27,0.07407407407407407,1
90,5118,0.5,0.060291174670222825,0.25,27,0.1111111111111111,1
91,5144,0.5,0.06347739432169511,0.25,26,0.11538461538461539,1
92,5170,0.5,0.06347739432169511,0.25,26,0.0,1
93,5196,0.5,0.05680984317217737,0.25,26,0.23076923076923078,1
94,5221,0.5,0.04232388100817095,0.25,25,0.04,1
95,5246,0.5,0.048054875646415154,0.25,25,0.12,1
96,5270,0.5,0.03899452470474831,0.25,24,0.125,1
97,5294,0.5,0.03272172162436091,0.25,24,0.041666666666666664,1
98,5318,0.5,0.027128449620006156,0.25,24,0.125,1
99,5341,0.5,0.020491996628810478,0.25,23,0.08695652173913043,1
100,5364,0.5,0.021859682071584084,0.25,23,0.21739130434782608,1
101,5387,0.5,0.0213816838936293,0.25,23,0.08695652173913043,1
102,5409,0.5,0.01754289490969497,0.25,22,0.045454545454545456,1
103,5431,0.5,0.01508577664391493,0.25,22,0.18181818181818182,1
104,5453,0.5,0.029916779524471082,0.25,22,0.22727272727272727,1
105,5474,0.5,0.022869138782983967,0.25,21,0.09523809523809523,1
106,5495,0.5,0.027003966499246995,0.25,21,0.14285714285714285,1
107,5516,0.5,0.03322519009072923,0.25,21,0.09523809523809523,1
108,5537,0.5,0.03205221432679918,0.25,21,0.14285714285714285,1
109,5557,0.5,0.02750436872628372,0.25,20,0.05,1
110,5577,0.5,0.027453329386753027,0.25,20,0.2,1
111,5597,0.5,0.051701123866013596,0.25,20,0.25,1
112,5616,0.5,0.0570439592388096,0.25,19,0.2631578947368421,1
113,5635,0.5,0.06387983210497762,0.25,19,0.10526315789473684,1
114,5654,0.5,0.06260709649921631,0.25,19,0.15789473684210525,1
115,5673,0.5,0.07310951089809847,0.25,19,0.15789473684210525,1
116,5691,0.5,0.044726888702574866,0.25,18,0.05555555555555555,1
117,5709,0.5,0.033162829738296616,0.25,18,0.05555555555555555,1
118,5727,0.5,0.021578014351232164,0.25,18,0.05555555555555555,1
